Time;Policy;Finalization Status;CPU core Energy;Transfer Energy;CPU core Time;Transfer Time;Cost
13933;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
15512;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
18043;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
20874;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
23204;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
24348;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
25137;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
25485;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
25547;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
25604;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
25722;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
25728;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
25751;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
25900;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26103;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26123;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26490;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26500;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26754;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26859;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26907;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26927;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
27406;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
27670;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28001;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28137;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
28299;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28302;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28600;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28724;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28776;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28794;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
28991;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
29794;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
30037;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
30277;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
30477;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
31068;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
31425;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
31521;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
31913;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
31960;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
32268;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
32295;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
32962;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
33002;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
33356;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
33893;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
33941;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
34093;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
34139;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
34251;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
34926;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
34944;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
34967;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
35130;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
35236;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
35730;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
35798;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
35834;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
35843;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
35932;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
36336;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
36511;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
36628;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
36660;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
36798;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
36855;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
37075;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
37283;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
37439;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
37461;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
37477;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
37487;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
37731;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
38085;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
38198;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
38374;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
38662;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
38974;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
39350;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
39538;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
39554;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
39739;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
39792;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
40350;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
40452;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
40480;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
40662;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
40676;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
40847;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
40849;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
41068;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
41201;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
41203;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
41205;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
41287;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
41318;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
41622;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
41794;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
41868;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
42129;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
42231;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
42350;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
42389;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
42743;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
43059;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
43214;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
43329;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
43337;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
43668;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
43914;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
44077;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
44182;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
44226;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
44246;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
44915;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
45120;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
45553;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
45591;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
45617;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
45722;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
45816;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
45865;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
46289;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
46577;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
46607;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
46930;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
46990;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
47180;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
47979;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
48030;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
48143;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
48182;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
48238;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
48615;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
48713;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
48765;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
48851;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
48890;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
48918;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
48977;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
48979;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
49172;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
49565;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
49665;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
49808;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
49855;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
50011;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
50121;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
50238;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
50349;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
50581;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
50762;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
50865;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
51032;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
51303;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
51378;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
51767;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
51909;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
52133;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
52602;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
52894;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
52978;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
52986;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
53589;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
53683;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
53705;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
53988;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
54051;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
54400;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
55051;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
55156;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
55204;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
55224;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
55905;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
55985;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
56280;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
56474;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
56579;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
57021;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
57174;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
57655;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
58012;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
58251;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
59264;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
59272;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
59351;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
59462;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
59604;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
59720;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
59966;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
60272;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
61102;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
61305;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
61508;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
61672;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
61716;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
61726;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
61961;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
61990;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
62271;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
62308;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
62585;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
62589;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
62888;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
63429;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
64235;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
64560;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
64889;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
64996;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
65073;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
65074;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
65302;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
65343;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
66131;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
66258;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
66419;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
66519;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
66584;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
66639;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
66826;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
67190;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
67306;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
67438;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
67598;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
67605;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
67917;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
67938;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
68380;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
68516;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
68546;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
68864;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
68880;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
69193;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
69244;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
69270;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
69560;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
69740;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
69929;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
70479;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
70499;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
71103;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
71475;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
71488;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
72018;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
72398;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
72526;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
