Time;Policy;Finalization Status;CPU core Energy;Transfer Energy;CPU core Time;Transfer Time;Cost
18191;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
25784;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
26451;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26573;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
27318;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
27795;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28634;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
29094;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
29513;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
29964;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
30174;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
30593;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
31183;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
31686;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
32581;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
32960;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
33508;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
35128;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
35260;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
36580;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
37521;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
37966;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
38493;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
38943;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
38955;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
39173;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
39845;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
39896;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
40353;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
40471;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
41022;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
41209;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
43342;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
43345;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
43883;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
44839;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
45166;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
46216;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
46479;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
47711;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
47739;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
