Time;Policy;Finalization Status;CPU core Energy;Transfer Energy;CPU core Time;Transfer Time;Cost
25236;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
25665;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
25788;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
28981;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
30303;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
30735;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
31371;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
32192;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
34009;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
34623;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
34880;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
38535;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
38957;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
39119;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
39155;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
44285;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
44546;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
44656;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
44660;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
45333;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
46731;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
48274;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
49606;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
51380;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
52754;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
53239;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
53977;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
54438;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
54860;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
57087;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
57122;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
57684;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
57898;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
58061;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
58775;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
59229;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
59330;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
60805;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
61991;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
62768;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
63191;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
63893;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
66307;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
66331;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
67168;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
68413;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
