Time;Policy;Finalization Status;CPU core Energy;Transfer Energy;CPU core Time;Transfer Time;Cost
13945;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
16717;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
19479;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
20402;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
23673;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
25033;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
25130;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
25468;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
25513;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
25609;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
25663;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
25867;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
25912;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26183;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26227;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26451;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26539;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
27257;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
27279;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
27311;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
27657;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28155;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28805;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
28903;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28977;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
29211;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
29359;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
30012;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
30342;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
30378;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
30695;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
31186;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
31455;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
31685;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
31723;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
31756;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
32019;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
32200;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
32252;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
32412;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
32475;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
32586;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
32644;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
32651;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
32791;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
32802;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
33223;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
33646;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
33705;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
34099;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
34180;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
34243;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
34573;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
34926;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
35227;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
35468;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
35746;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
36375;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
36966;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
37066;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
37660;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
37662;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
37688;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
37753;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
37784;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
37925;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
38073;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
38119;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
38362;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
